name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
Dr. Priyanka's Skin Clinic,dermatologist,Chikhali,Chikhali,4.7,10,"Shop no.16 3rd floor, Shram Safaly Cooperate Society, Jadhav Wadi, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",099227 96968,google_maps,N/A,18.6686684,73.8292345,3.28,"https://www.google.com/maps/place/Dr.+Priyanka's+Skin+Clinic/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2b7e900000001:0x6b5c7e2064ada761!8m2!3d18.6686684!4d73.8292345!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ5tZWRpY2FsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycEtWRlZyV1hoT1NFNTNVVEJTTms5V2FHdGtWRVl5VFVka2ExbFZSUkFC4AEA-gEECAAQLg!16s%2Fg%2F11kjgbkscg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Health Hub Moshi,dermatologist,Chikhali,Chikhali,4.8,96,"Kanwar-Ram Palacio, Shop No - 1 & 2, Beside Jogeshwari Misal GK St, Phase 2, Dehu - Moshi Rd, Chikhali, Pune, Maharashtra 411062",077679 40904,google_maps,N/A,18.6804092,73.8319943,4.47,"https://www.google.com/maps/place/Health+Hub+Moshi/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2b785a8798f4b:0x2bfaa483526e7bf!8m2!3d18.6804092!4d73.8319943!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQhob3NwaXRhbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSVgweHlWa1IzRUFF4AEA-gEFCIcDEEE!16s%2Fg%2F11jz8lyyyt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr.Marathe's Skin & Hair Clinic,dermatologist,Chikhali,Chikhali,4.9,28,"1st floor, More Complex, Dehu - Alandi Rd, near PMT bus Stop, Vrindavan Chikhali Patil Nagar, Patilnagar, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",096579 33389,google_maps,https://sites.google.com/view/drmaratheskinclinic/,18.6838405,73.8140772,4.09,"https://www.google.com/maps/place/Dr.Marathe's+Skin+%26+Hair+Clinic/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2b7869443ffc7:0x48177caba4af998c!8m2!3d18.6838405!4d73.8140772!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBza2luX2NhcmVfY2xpbmlj4AEA!16s%2Fg%2F11y2dxwp72?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Subhash Bharti,dermatologist,Chikhali,Chikhali,4.1,28,"Shri Datta Multispeciality Hospital, Indradhanu society, road, Jadhav Wadi, Chikhali, Pimpri-Chinchwad, Maharashtra 411062",081783 54686,google_maps,http://shraddhaskinclinic.com/,18.6743433,73.8315409,3.91,"https://www.google.com/maps/place/Dr+Subhash+Bharti/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2b7a9c0d81723:0x768ce8c099f0c367!8m2!3d18.6743433!4d73.8315409!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJvT0RSaGNWRkJFQUXgAQD6AQQIABAN!16s%2Fg%2F11gkrlpxf7?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Avis Health skin and hair Clinic,dermatologist,Chikhali,Chikhali,4.9,74,"Shreeji terrace, shivsai chowk, Vitthal Nagar, Sector 15, Purnanagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019",099601 47413,google_maps,N/A,18.6629889,73.8085075,1.72,"https://www.google.com/maps/place/Avis+Health+skin+and+hair+Clinic/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2b9ceac58eb69:0x1de92ffd8f7dfd43!8m2!3d18.6629889!4d73.8085075!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQZkb2N0b3KaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhyZVZsWWNIcFRNbVJUV1d0TmVGcFVSbUZaVjJoMVlucFJlbFZYWXhBQuABAPoBBAgQEEI!16s%2Fg%2F11nxv6kmyg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
NIT SKIN CLINIC,dermatologist,Chikhali,Chikhali,4.8,214,"Shop No. 3, In front of Fire Brigade, Pune Nashik Highway, old moshi chowk, Moshi, Maharashtra 411070",099711 01666,google_maps,https://nitskinclinic.com/,18.6762375,73.8493537,5.45,"https://www.google.com/maps/place/NIT+SKIN+CLINIC/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2c9f6e8958f4d:0x1945f82f597f02cd!8m2!3d18.6762375!4d73.8493537!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN04AEA!16s%2Fg%2F11jy9gmvv4?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Yashashree Polyclinic - Dr Shruti Patil | Best Skin Specialist in Moshi | Jadhavwadi | Chikhali,dermatologist,Chikhali,Chikhali,5.0,132,"Shop Number 1, Bhumi Pride, Alandi - Moshi Rd, Moshi Gaon, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",094049 03635,google_maps,http://www.yashashreepolyclinic.com/,18.6757419,73.855741,5.98,"https://www.google.com/maps/place/Yashashree+Polyclinic+-+Dr+Shruti+Patil+%7C+Best+Skin+Specialist+in+Moshi+%7C+Jadhavwadi+%7C+Chikhali/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2c80f10e5c9d3:0x12f0445bd4ffdf8c!8m2!3d18.6757419!4d73.855741!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN04AEA!16s%2Fg%2F11gfp7gtpq?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Batul's Clinic,dermatologist,Chikhali,Chikhali,5.0,31,"Silver Central Mall, opp. :, Jadhav Wadi, Chikhali, moshi, Pimpri-Chinchwad, Maharashtra 411070",077180 11228,google_maps,N/A,18.6683007,73.8296818,3.29,"https://www.google.com/maps/place/Dr.+Batul's+Clinic/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2b7d48ad5d5a5:0x85a0bdd36e189074!8m2!3d18.6683007!4d73.8296818!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSARBza2luX2NhcmVfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJsT0RadVJXaEJSUkFC4AEA-gEECAAQQw!16s%2Fg%2F11thc17wl6?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
The Aurra Skin Hair Laser Clinic Moshi,dermatologist,Chikhali,Chikhali,4.9,273,"THE AURRA SKIN HAIR LASER CLINIC, Bharatmata Chauk, Dehu - Moshi Rd, near Surya Hospital, Tupe Vasti, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411070",090289 12674,google_maps,https://bizknow.in/theaurraskinclinic/,18.6789458,73.8483268,5.54,"https://www.google.com/maps/place/The+Aurra+Skin+Hair+Laser+Clinic+Moshi/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2c932d4b347fb:0x9c18c9da7f711a43!8m2!3d18.6789458!4d73.8483268!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxNFMxTkZSWHBaYXpVMll6Sm9XV015TlhkYWFrRjRUbGRhY1ZOR1JSQULgAQD6AQQIABBL!16s%2Fg%2F11q8wwftcn?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Orthoderma Skin & Joint Clinic | Best Orthopaedic Doctor/Hip & Knee Replacement Surgeon/Spine Surgeon | Dermatology Clinic,dermatologist,Chikhali,Chikhali,4.9,49,"2nd floor, Kamal Datta Vihar Central, Dehu - Moshi Rd, MIDC, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 412105",070709 26464,google_maps,https://orthodermapune.com/,18.6794552,73.8349732,4.58,"https://www.google.com/maps/place/Orthoderma+Skin+%26+Joint+Clinic+%7C+Best+Orthopaedic+Doctor%2FHip+%26+Knee+Replacement+Surgeon%2FSpine+Surgeon+%7C+Dermatology+Clinic/@18.6820783,73.6855264,12z/data=!4m11!1m3!2m2!1sdermatologist+in+Chikhali+Chikhali!6e1!3m6!1s0x3bc2b75cbb29200d:0x7512d0f07cc6e6ad!8m2!3d18.6794552!4d73.8349732!15sCiJkZXJtYXRvbG9naXN0IGluIENoaWtoYWxpIENoaWtoYWxpWiQiImRlcm1hdG9sb2dpc3QgaW4gY2hpa2hhbGkgY2hpa2hhbGmSAQ1kZXJtYXRvbG9naXN04AEA!16s%2Fg%2F11xmj0ckpw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
