source,name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
google_maps,PUNE-DENTALAND,dentist,Pune,,4.9,74,"shop no 8, ground floor, Roshani Palace, Bajirao Rd, next to Dakshinmukhi maruti Temple, behind Shaniwar wada, Shaniwar Peth, Pune, Maharashtra 411002",075593 56392,google_maps,N/A,18.5184037,73.8543639,0.33,"https://www.google.com/maps/place/PUNE-DENTALAND/@18.5143304,73.8413712,15z/data=!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c17cd4e3bde9:0xeeb911ca9d31fec3!8m2!3d18.5184037!4d73.8543639!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgEHZGVudGlzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydGpkMVZVVmtoVVZFbDBUa1pzV0UxcVRsbFViV1J1VmxVd01XSkZSUkFC4AEA-gEECGwQLw!16s%2Fg%2F11l67j_rbg?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Behere Dental Clinic,dentist,Pune,,4.9,186,"First Floor, 493, Shreemant Thorle Bajirav Peshve Rd, opposite Hotel Basera, Hasabnis Bakhal, Shaniwar Peth, Pune, Maharashtra 411030",091589 99815,google_maps,https://www.practo.com/pune/clinic/dr-behere-dental-clinic-shaniwar-peth-1,18.5178639,73.8538898,0.4,"https://www.google.com/maps/place/Behere+Dental+Clinic/@18.5143304,73.8413712,15z/data=!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c06555af63f3:0x54c60e51c3fd9664!8m2!3d18.5178639!4d73.8538898!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgEHZGVudGlzdJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQ2VYSkhZblpSUlJBQuABAPoBBAgAEDs!16s%2Fg%2F11b88mrp2k?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Dental Galaxy®,dentist,Pune,,4.9,1285,"201, 1st Floor, 1443, Kaustubh (Gore) Apts, Bajirao Rd, near Janata Bank, Mandai, Shukrawar Peth, Pune, Maharashtra 411002",096044 80444,google_maps,https://dentalgalaxy.in/,18.5124599,73.853914,0.99,"https://www.google.com/maps/place/Dental+Galaxy%C2%AE/@18.5143304,73.8413712,15z/data=!3m1!5s0x3bc2c06e00a58167:0xca696d93f0a43654!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c06e00c54273:0x29419f9b0c8f14dc!8m2!3d18.5124599!4d73.853914!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11_stw_x3?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,32Smiles,dentist,Pune,,4.8,1044,"Premium Point, 1321/1, Jangali Maharaj Rd, opp. Modern Highschool, near Titan Showroom, Shivajinagar, Pune, Maharashtra 411005",072760 57079,google_maps,https://32smiles.co.in/,18.5246115,73.849663,0.62,"https://www.google.com/maps/place/32Smiles/@18.5246115,73.8316386,15z/data=!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c0783c925555:0x23f14218eca80764!8m2!3d18.5246115!4d73.849663!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11thjwcpzd?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Family Dental & Orthodontist Center | Best Orthodontist Doctor in Pune | Dental Implant | Dentist | Dental Clinic | Braces,dentist,Pune,,4.9,364,"Agarwal Rd, universal hospital lane, near Pavle Chowk, Lunanagar, agarwal, Kasba Peth, Maharashtra 411011",098225 22560,google_maps,N/A,18.5219598,73.8573219,0.3,"https://www.google.com/maps/place/Family+Dental+%26+Orthodontist+Center+%7C+Best+Orthodontist+Doctor+in+Pune+%7C+Dental+Implant+%7C+Dentist+%7C+Dental+Clinic+%7C+Braces/@18.5246115,73.8316386,15z/data=!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c06448ec6885:0x20f50b054e01f035!8m2!3d18.5219598!4d73.8573219!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgEcZGVudGFsX2ltcGxhbnRzX3BlcmlvZG9udGlzdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMWFUVnBWUmt4Wk0xcERWRlJPY1UxVmRFVlVibWN5V1hwQk5XSkdSUkFC4AEA-gEECFIQRQ!16s%2Fg%2F11b7w6m81l?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,All Smiles Family Dental Clinic in Shaniwar Peth | Best Dentist | Root Canal Treatment | Dental Implant in Shaniwar Peth,dentist,Pune,,4.9,149,"Parvati Mata Housing Society, 359, Opposite Rasoi Dining Hall, Maharashtrs 411003, Shaniwar Peth, Pune, Maharashtra 411030",098231 25672,google_maps,https://drghorpadeallsmilesfamilydentalcarepune.com/,18.5181155,73.8503986,0.56,"https://www.google.com/maps/place/All+Smiles+Family+Dental+Clinic+in+Shaniwar+Peth+%7C+Best+Dentist+%7C+Root+Canal+Treatment+%7C+Dental+Implant+in+Shaniwar+Peth/@18.5246115,73.8316386,15z/data=!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c07a7c009967:0x2b050e56210c469a!8m2!3d18.5181155!4d73.8503986!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgEHZGVudGlzdOABAA!16s%2Fg%2F11clvwmcd1?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Gum Care Dental Clinic,dentist,Pune,,4.9,221,"140, 141, opposite Kasba Ganesh Temple, Kasba Peth, Pune, Maharashtra 411011",098604 28656,google_maps,http://gumcaredental.com/,18.5192048,73.8572296,0.37,"https://www.google.com/maps/place/Gum+Care+Dental+Clinic/@18.5246115,73.8316386,15z/data=!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c10456779697:0xd561b8b944bad247!8m2!3d18.5192048!4d73.8572296!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgEHZGVudGlzdOABAA!16s%2Fg%2F11gyb6x7m9?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Deccan Dental Clinic,dentist,Pune,,4.8,885,"759/53, 1st floor, Fergusson College Rd, Opposite Chitalebandhu Garware bridge corner, Deccan Gymkhana, Pune, Maharashtra 411004",073870 40464,google_maps,http://www.bestorthodontistbracespune.in/,18.5158446,73.8418693,1.47,"https://www.google.com/maps/place/Deccan+Dental+Clinic/@18.5246115,73.8316386,15z/data=!3m1!5s0x3bc2bf887cbe6887:0xff59b1aac85a0216!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2bf881e459a07:0xafc040a99b72f7c5!8m2!3d18.5158446!4d73.8418693!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNXZkRk5YU2pGTmVrNUZWa1pTZUZReWVFbFRNRFUwVVcxV2Exb3dSUkFC4AEA-gEECBoQOQ!16s%2Fg%2F11bw5_2f_0?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Dr. Rahul Kathariya,dentist,Pune,,4.9,441,"201, 1st Floor, 1443, Kaustubh (Gore) Apts, Dental Galaxy, 201, 1st floor, 1443 Kaustubh (Gore) Apts, Bajirao Rd, near Janata Bank, Pune, Maharashtra 411002",078754 49999,google_maps,http://dentalgalaxy.in/,18.5124725,73.8539423,0.99,"https://www.google.com/maps/place/Dr.+Rahul+Kathariya/@18.5246115,73.8316386,15z/data=!3m1!5s0x3bc2c06e00a58167:0xca696d93f0a43654!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c06e0370c669:0xbbee732ef0f182f3!8m2!3d18.5124725!4d73.8539423!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgEHZGVudGlzdOABAA!16s%2Fg%2F11cncbt3_l?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,"Bright Smiles Dental Clinic- Best Dentist in Narayan Peth, Pune- Best Dental Clinic in Narayan Peth, Pune",dentist,Pune,,4.5,15,"568, NC Kelkar Road, Narayan Peth, Pune, Maharashtra 411030",093550 20785,google_maps,https://brightsmiledentalcare.co/,18.516315,73.8491,0.8,"https://www.google.com/maps/place/Bright+Smiles+Dental+Clinic-+Best+Dentist+in+Narayan+Peth,+Pune-+Best+Dental+Clinic+in+Narayan+Peth,+Pune/@18.5246115,73.8316386,15z/data=!4m10!1m2!2m1!1sdentist+in+Pune!3m6!1s0x3bc2c1dde231ca21:0xf0a95ce0d247c58a!8m2!3d18.516315!4d73.8491!15sCg9kZW50aXN0IGluIFB1bmVaESIPZGVudGlzdCBpbiBwdW5lkgENZGVudGFsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOa01FeEhWbU4zRUFF4AEA-gEECCoQKw!16s%2Fg%2F11ll9nx1vc?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
