source,name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
google_maps,Dr. Somnath Mohite - Pediatrician | Child Specialist | Child Doctor | Mundhwa | Pune,Gediatrics,Pune,Koregaon Park,5.0,23,"Ganga Nursing Home, near Rohan Ishita, next to passport office, Vanshaj Society, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036",095278 97078,google_maps,https://www.drsomamohite.in/,18.5305234,73.9128553,2.17,"https://www.google.com/maps/place/Dr.+Somnath+Mohite+-+Pediatrician+%7C+Child+Specialist+%7C+Child+Doctor+%7C+Mundhwa+%7C+Pune/@18.5414688,73.875755,14z/data=!4m10!1m2!2m1!1sGediatrics+in+Pune+Koregaon+Park!3m6!1s0x3bc2c1ffc7984947:0x16ecadafc420a395!8m2!3d18.5305234!4d73.9128553!15sCiBQZWRpYXRyaWNzIGluIFB1bmUgS29yZWdhb24gUGFya1oiIiBwZWRpYXRyaWNzIGluIHB1bmUga29yZWdhb24gcGFya5IBDHBlZGlhdHJpY2lhbuABAA!16s%2Fg%2F11nhc5tgj7?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Mandhare Kumar Ganpatrao,Gediatrics,Pune,Koregaon Park,4.9,46,"Devnagri Apartment, N Main Rd, opposite Sb Training Centre, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",098222 69303,google_maps,N/A,18.5397648,73.8934053,0.35,"https://www.google.com/maps/place/Mandhare+Kumar+Ganpatrao/@18.5397648,73.8573564,14z/data=!4m10!1m2!2m1!1sGediatrics+in+Pune+Koregaon+Park!3m6!1s0x3bc2c10055555555:0xd37c6d493ecb8806!8m2!3d18.5397648!4d73.8934053!15sCiBQZWRpYXRyaWNzIGluIFB1bmUgS29yZWdhb24gUGFya1oiIiBwZWRpYXRyaWNzIGluIHB1bmUga29yZWdhb24gcGFya5IBBmRvY3RvcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMXNRMkV4T1daV1YyaFdUa2hLZVZOc1VrNU5SVFYyVm0xTmVtRnNSUkFC4AEA-gEECD8QNw!16s%2Fg%2F1tfpn4cw?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
google_maps,Dr Shradha Joshi’s Children’s Clinic / Pediatrician,Gediatrics,Pune,Koregaon Park,N/A,N/A,"Anand Villa, B 19, S Main Rd, next to Nirmitee terrace, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune, Maharashtra 411001",N/A,google_maps,N/A,18.5336557,73.8982492,0.62,"https://www.google.com/maps/place/Dr+Shradha+Joshi%E2%80%99s+Children%E2%80%99s+Clinic+%2F+Pediatrician/@18.5397648,73.8573564,14z/data=!4m10!1m2!2m1!1sGediatrics+in+Pune+Koregaon+Park!3m6!1s0x3bc2c182090f10bd:0xcfdc0630578a9885!8m2!3d18.5336557!4d73.8982492!15sCiBQZWRpYXRyaWNzIGluIFB1bmUgS29yZWdhb24gUGFya5IBBmRvY3RvcuABAA!16s%2Fg%2F11z66yq7nh?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
